Title,Authors,Year,Venue,Type,DOI,URL,Pages,Volume,Number
Matrix Factorisation for Scalable Energy Breakdown,"Batra, Nipun and Wang, Hongning and Singh, Amarjeet and Whitehouse, Kamin",2017,"AAAI 2017, Thirty-First AAAI Conference on Artificial Intelligence (AAAI-17)",inproceedings,,,,,
Gemello: Creating a Detailed Energy Breakdown from just the Monthly Electricity Bill,"Batra, Nipun and Singh, Amarjeet and Whitehouse, Kamin",2016,"KDD 2016, 22nd ACM SIGKDD conference on knowledge discovery and data mining",inproceedings,10.1145/2939672.2939735,,,,
Exploring The Value of Energy Disaggregation Through Actionable Feedback,"Batra, Nipun and Singh, Amarjeet and Whitehouse, Kamin",2016,3rd International Workshop on Non-Intrusive Load Monitoring,inproceedings,,,,,
Creating a Detailed Energy Breakdown from just the Monthly Electricity Bill,"Batra, Nipun and Singh, Amarjeet and Whitehouse, Kamin",2016,3rd International Workshop on Non-Intrusive Load Monitoring,inproceedings,,,,,
"Non Intrusive Load Monitoring: Systems, Metrics and Use Cases","Batra, Nipun",2015,Doctoral Colloqium of the 13th ACM Conference on Embedded Networked Sensor Systems (SenSys 2015),inproceedings,,,,,
"If You Measure It, Can You Improve It? Exploring The Value of Energy Disaggregation","Batra, Nipun and Singh, Amarjeet and Whitehouse, Kamin",2015,2nd ACM International Conference on Embedded Systems For Energy-Efficient Built Environments (Buildsys 2015),inproceedings,,,,,
Dataport and NILMTK: A Building Data Set Designed for Non-intrusive Load Monitoring,"Parson, Oliver and Fisher, Grant and Hersey, April and Batra, Nipun and Kelly, Jack and Singh, Amarjeet and Knottenbelt, William and Rogers, Alex",2015,1st International Symposium on Signal Processing Applications in Smart Buildings at 3rd IEEE Global Conference on Signal and Information Processing,inproceedings,,,,,
NILMTK: An Open Source Toolkit for Non-intrusive Load Monitoring,"Batra, Nipun and Kelly, Jack and Parson, Oliver and Dutta, Haimonti and Knottenbelt, William and Rogers, Alex and Singh, Amarjeet and Srivastava, Mani",2014,5th International Conference on Future Energy Systems (ACM e-Energy),inproceedings,,,,,
NILMTK v0. 2: A Non-intrusive Load Monitoring Toolkit for Large Scale Data Sets,"Kelly, Jack and Batra, Nipun and Parson, Oliver and Dutta, Haimonti and Knottenbelt, William and Rogers, Alex and Singh, Amarjeet and Srivastava, Mani",2014,First ACM International Conference on Embedded Systems For Energy-Efficient Built Environments (Buildsys 2014),inproceedings,,,,,
Data Driven Energy Efficiency in Buildings,"Batra, Nipun and Singh, Amarjeet and Singh, Pushpendra and Dutta, Haimonti and Sarangan, Venkatesh and Srivastava, Mani",2014,,techreport,,,,,
Bits and Watts: Improving energy disaggregation performance using power line communication modems,"Batra, Nipun and Gulati, Manoj and Jain, Puneet and Whitehouse, Kamin and Singh, Amarjeet",2014,First ACM International Conference on Embedded Systems For Energy-Efficient Built Environments (Buildsys 2014),inproceedings,,,,,
A comparison of non-intrusive load monitoring methods for commercial and residential buildings,"Batra, Nipun and Parson, Oliver and Berges, Mario and Singh, Amarjeet and Rogers, Alex",2014,,techreport,,,,,
It's Different: Insights into home energy consumption in India,"Batra, Nipun and Gulati, Manoj and Singh, Amarjeet and Srivastava, Mani",2013,5th ACM Workshop On Embedded Systems For Energy-Efficient Buildings (Buildsys 2013),inproceedings,,,,,
INDiC: Improved Non-Intrusive load monitoring using load Division and Calibration,"Batra, Nipun and Dutta, Haimonti and Singh, Amarjeet",2013,The 12th International Conference on Machine Learning and Applications (ICMLA'13),inproceedings,,,,,
Experiences with Occupancy Based Building Management Systems,"Batra, Nipun and Arjunan, Pandarasamy and Singh, Amarjeet and Singh, Pushpendra",2013,"2013 IEEE Eighth International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP '13)",inproceedings,,,,,
SensorAct: A Privacy and Security Aware Federated Middleware for Building Management,"Arjunan, Pandarasamy and Batra, Nipun and Choi, Haksoo and Singh, Amarjeet and Singh, Pushpendra and Srivastava, Mani",2012,BuildSys '12: Proceedings of the Fourth ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings,inproceedings,10.1145/2422531.2422547,,,,
